SoC,Temperature,Voltage,Label
-1823.392154,22903.7044,0.0,2
-1432.628917,18438.7504,0.0,2
27.23612309,350.6281274,3.313548696,0
18.03278689,350.5387312,3.252831148,0
-1779.823471,22408.0188,0.0,2
-28.35230481,410.2057505,2.705070901,1
-661.3275497,9512.373248,0.0,2
-3265.495041,39203.19364,0.0,2
10.12366983,438.0603495,2.956369189,1
77.3511648,321.2144739,3.680457103,1
73.5404084,318.9338341,3.694641871,0
-241.9183808,4633.863162,0.0,2
30.54357204,348.1004667,3.340263237,0
33.851021,339.6781816,3.387111188,0
-3569.822317,42652.03357,0.0,2
66.9255105,323.208166,3.635169723,0
1.855047455,385.5621359,2.910250682,1
13.71872304,353.4412926,3.202251156,0
95.03882657,302.930224,3.863283884,0
58.65688812,328.6466316,3.562796643,0
56.17630141,330.2755498,3.541433703,0
18.96750072,357.3572154,3.236141454,0
-1216.856475,15954.83479,0.0,2
33.13201035,340.1417878,3.382049353,0
89.93385102,306.2936953,3.855818405,0
-1649.343795,20920.32629,0.0,2
-3352.401604,40188.76382,0.0,2
48.41098648,353.4003048,3.392154733,1
18.96750072,357.3572154,3.236141454,0
-0.6614946391,400.3498882,2.703370702,1
89.93385102,311.4923086,3.755583571,1
-76.27440599,2706.592342,0.0,2
-2085.603258,25875.56156,0.0,2
33.851021,345.6277183,3.363984182,0
71.88668392,339.3370671,3.525623002,0
-1998.046243,24885.38669,0.0,2
-4136.116451,49052.13509,0.0,2
-4835.186239,56920.45834,0.0,2
50.38826575,329.57599,3.511599085,0
-1823.392154,22903.7044,0.0,2
-2261.169029,27854.37086,0.0,2
-33.38882386,411.9976805,2.705380097,1
28.88984757,349.355061,3.328290458,0
100.0,298.15,3.95214,1
-2656.262784,32299.39332,0.0,2
-3918.133619,46591.31051,0.0,2
13.71872304,379.9065675,3.125630578,1
42.83865401,350.7713819,3.376631199,1
-4092.502112,48560.0454,0.0,2
30.97497843,341.545436,3.366913848,0
52.04199022,332.9514114,3.50584962,0
27.0204199,376.9963862,3.213877373,1
-3526.321582,42159.4546,0.0,2
42.47914869,334.2384275,3.447923207,0
-1044.912825,13966.0702,0.0,2
28.06298533,349.9882692,3.321282801,0
40.90874809,1243.980004,0.0,2
78.42968076,313.6911357,3.759120134,0
52.54529767,328.3744592,3.530278637,0
38.3448375,364.1202353,3.305571283,1
15.66005177,359.9966507,3.20517717,0
75.19413287,335.0764203,3.554284389,0
38.52459016,354.8013117,3.344642951,1
-24.03573591,393.1405154,2.716995889,1
63.61806155,350.092711,3.447980087,0
-4179.739687,49544.1872,0.0,2
-4485.351815,52987.49963,0.0,2
-4791.424483,56428.9701,0.0,2
-28.35230481,394.4570354,2.717260901,1
12.35260282,424.2047534,2.991038867,0
-1044.912825,13966.0702,0.0,2
43.77336785,376.261797,3.266140149,0
94.96692551,305.1988478,3.763834766,1
9.404659189,466.5650367,2.907285211,1
-1823.392154,22903.7044,0.0,2
98.34627552,300.892612,3.660461579,0
73.57635893,328.4716873,3.614726902,1
17.31377624,351.0423654,3.245959701,0
-1303.052573,16948.67236,0.0,2
48.23123382,345.9349707,3.42467522,1
61.13747483,327.0092829,3.58421395,0
-3.537671024,473.063573,2.642597257,1
15.66005177,419.3225994,3.020753684,0
90.65286166,305.7588651,3.860994026,0
34.57003164,368.3200225,3.276916638,1
-1130.809941,14960.63043,0.0,2
-4092.502112,48560.0454,0.0,2
-1389.39907,17942.14812,0.0,2
65.27178602,324.2885669,3.620299276,0
90.29335634,309.3929206,3.787412348,1
49.6692551,329.9774536,3.505471821,0
79.86770204,312.8493272,3.771385392,0
33.851021,345.6277183,3.363984182,0
80.1553063,328.5055926,3.591472978,0
92.45038827,307.0797838,3.79646789,1
66.09864826,323.7476939,3.62773054,0
61.13747483,327.0092829,3.58421395,0
-1519.20213,19431.68218,0.0,2
-492.671113,7551.153241,0.0,2
9.25212541,1701.831027,0.0,2
-20.79858022,483.5959578,2.643657139,1
71.88668392,319.9963301,3.67978743,0
-2217.221305,27359.86355,0.0,2
64.76847857,337.1581177,3.533767816,1
82.02473397,328.1234905,3.583183053,1
13.71872304,459.2094799,2.895768844,1
93.52890423,312.2916519,3.612161483,1
74.83462755,315.7424872,3.726390077,0
-4397.989471,52003.88401,0.0,2
51.82628703,328.775795,3.524032171,0
97.51941329,300.4978246,3.87728725,0
-2305.154409,28348.74814,0.0,2
-35.05185379,2226.955377,0.0,2
-117.572143,3187.100121,0.0,2
-18.64060544,482.2794379,2.643524642,1
93.52890423,303.5279591,3.880656121,0
100.0,298.15,0.0,2
90.65286166,305.7588651,3.860994026,0
-1910.643172,23894.75762,0.0,2
12.35260282,362.4392095,3.159491012,0
95.86568881,302.1396184,3.866939538,0
57.93787748,337.7303618,3.508569243,1
70.23295945,321.0622166,3.664910249,0
25.58239862,367.4878666,3.239656833,1
-0.3019854801,385.8995027,2.715538358,1
-2786.84526,33779.60938,0.0,2
65.27178602,347.9216669,3.463324074,0
93.3851021,304.45484,3.855100503,0
82.38423929,319.5847989,3.692648115,1
45.89444924,355.9715604,3.366536549,1
83.46275525,324.0164863,3.625483322,0
47.15271786,346.8708946,3.41435151,1
9.404659189,466.5650367,2.907285211,1
71.95858499,317.3498056,3.70053935,0
15.66005177,359.9966507,3.20517717,0
-916.4235696,12475.40383,0.0,2
66.09864826,323.7476939,3.62773054,0
26.66091458,366.3736643,3.25085742,1
-4529.046383,53479.25106,0.0,2
70.5205637,318.1554182,3.687673844,0
48.73454127,335.0786964,3.477169174,0
-4747.671771,55937.44426,0.0,2
27.73943054,365.2777598,3.261951346,1
9.25212541,1701.831027,0.0,2
-2481.474035,30324.95656,0.0,2
10.66292781,396.4273173,3.055696061,1
38.88409548,390.3702321,3.196822629,1
79.95470956,635.0578906,0.0,2
71.88668392,319.9963301,3.67978743,0
-2961.167009,35752.4889,0.0,2
-1866.998695,23399.28402,0.0,2
73.03710095,341.0424956,3.509499529,1
50.38826575,387.6466704,3.244912626,1
80.98216854,314.0215374,3.762461431,0
74.11561691,347.346339,3.452278845,1
76.84785735,332.9183868,3.566588881,0
-1649.343795,20920.32629,0.0,2
49.6692551,374.1240575,3.304230052,1
-2917.563845,35259.34862,0.0,2
85.97929249,313.5800027,3.764643562,1
55.34943917,360.969971,3.378338886,0
51.46678171,343.2082281,3.454210302,1
26.66091458,432.1912575,3.005436195,1
13.17946506,361.8492016,3.171419858,0
-1692.799369,21416.32973,0.0,2
-1216.856475,15954.83479,0.0,2
-1605.925768,20424.2169,0.0,2
4.91084268,365.639301,3.032058698,0
84.90077653,314.556372,3.753864969,1
23.24561404,381.6169465,3.172712456,1
-2085.603258,25875.56156,0.0,2
-2569.283177,31312.31578,0.0,2
48.23123382,391.3143152,3.218583788,1
-873.7302745,11979.79328,0.0,2
-1216.856475,15954.83479,0.0,2
-3874.563684,46099.03266,0.0,2
-2873.97584,34766.15527,0.0,2
53.6957147,363.1145537,3.365286174,0
53.6957147,331.8869343,3.520097061,0
79.95470956,635.0578906,0.0,2
46.0742019,395.0956276,3.190237981,1
-0.6614946391,400.3498882,2.703370702,1
-4791.424483,56428.9701,0.0,2
32.19729652,346.8575776,3.352128854,0
66.9255105,323.208166,3.635169723,0
57.21886684,344.7266996,3.468349607,1
-916.4235696,12475.40383,0.0,2
83.46275525,312.330039,3.786000621,0
-4048.896665,48067.91813,0.0,2
-2349.177522,28842.99537,0.0,2
100.0,298.15,4.00254,1
-28.35230481,410.2057505,2.705070901,1
-22.95665821,392.8113854,2.716929638,1
26.66091458,366.3736643,3.25085742,1
77.67471959,316.2442683,3.731530069,0
11.56169111,463.1677629,2.887812045,1
66.9255105,323.208166,3.635169723,0
71.23957435,317.7522553,3.694104199,0
61.89243601,323.0550955,3.611353681,0
78.42968076,333.3956693,3.55044606,1
89.21484038,320.5739858,3.5698706,1
-1087.842467,14463.38838,0.0,2
-1910.643172,23894.75762,0.0,2
-10.72891412,403.9339955,2.70398885,1
-366.9492252,6088.529322,0.0,2
-1866.998695,23399.28402,0.0,2
9.404659189,383.6325897,3.077913589,1
74.83462755,327.2387976,3.625516723,1
51.10727639,329.1760018,3.517791159,0
19.47080817,386.3477263,3.13821395,1
-20.79858022,483.5959578,2.643657139,1
28.81794651,364.1973013,3.272048775,1
30.97497843,341.545436,3.366913848,0
53.6957147,363.1145537,3.365286174,0
38.16508484,336.9297382,3.417510546,0
-576.8588986,8530.339835,0.0,2
53.6957147,331.8869343,3.520097061,0
17.31377624,426.7681351,2.995305413,1
21.62784009,347.9751048,3.286620305,0
-4441.666179,52495.71062,0.0,2
57.00316365,329.7343911,3.548561157,0
17.31377624,358.6965194,3.220894272,0
-3048.384095,36738.61157,0.0,2
-158.9452225,3668.479791,0.0,2
-2.459083397,386.5579195,2.715671021,1
38.81219442,383.3428129,3.226339526,0
-25.8342561,409.3097855,2.704916309,1
59.48375036,328.10106,3.569932687,0
32.19729652,346.8575776,3.352128854,0
51.10727639,329.1760018,3.517791159,0
93.52890423,303.5279591,3.880656121,0
70.23295945,341.4692174,3.510101867,0
49.6692551,374.1240575,3.304230052,1
60.45441473,358.8764806,3.392540363,1
28.81794651,364.1973013,3.272048775,1
4.083980443,365.6901668,3.00203533,0
83.82226057,325.4645091,3.600430177,1
0.7765314927,385.6485003,2.811724487,1
40.86137475,361.3632324,3.324640607,1
-3656.846764,43637.07867,0.0,2
-1823.392154,22903.7044,0.0,2
-619.0582563,9021.005413,0.0,2
-1346.206981,17445.45544,0.0,2
77.67471959,316.2442683,3.731530069,0
96.69255105,301.3275924,3.870545042,0
-1044.912825,13966.0702,0.0,2
-1259.935767,16451.79889,0.0,2
51.46678171,371.6123907,3.32080814,1
83.82226057,325.4645091,3.600430177,1
53.6957147,363.1145537,3.365286174,0
-117.572143,3187.100121,0.0,2
-3.537671024,386.8870497,2.715737257,1
58.65688812,356.6356914,3.404719315,0
-76.27440599,2706.592342,0.0,2
-1259.935767,16451.79889,0.0,2
-2743.302651,33286.25689,0.0,2
-117.572143,3187.100121,0.0,2
-916.4235696,12475.40383,0.0,2
-366.9492252,6088.529322,0.0,2
14.797239,378.8597013,3.140150699,1
-200.3938869,4150.733429,0.0,2
94.96692551,302.3546066,3.889266529,0
39.60310613,362.7376171,3.31512742,1
-13.24611998,389.8492154,2.716333415,1
-2612.765496,31805.88224,0.0,2
-7.852279357,388.2035654,2.716002208,1
-788.5570669,10990.70288,0.0,2
-1173.814589,15457.77921,0.0,2
-24.03573591,393.1405154,2.716995889,1
